Fecha,IPC_Nivel,TPM_Porcentaje,TBP_Porcentaje,TAN_Porcentaje,Credito_Sistema_Financiero,IHH,Morosidad_%,IHH_Lag3,IHH_Lag6,Morosidad_Lag3,Morosidad_Lag6,Credito_Lag3
2010-11-30,77.62394066,6.5,7.0,18.98,8433025.44852801,1069.5164949790396,10.153007445528699,1078.108442045776,2102.422961986325,10.173886853946271,10.924976752237578,8130605.35447771
2010-12-31,78.20005375,6.5,8.0,18.97,8569671.41924431,1083.7509237648374,10.010456500747935,1079.8582480007785,1054.298808227639,9.933204645494616,10.690280917092627,8209246.91663092
2011-01-31,78.72906211,6.5,7.75,18.78,8499439.23280164,1111.3289733157533,9.742635151504295,1071.5337702685704,1077.8468832856188,9.685101245961656,10.200964280082015,8340285.73032904
2011-02-28,79.07236732,6.5,7.5,18.75,8545132.78514902,1095.0645565798977,9.461670815794108,1069.5164949790396,1078.108442045776,10.153007445528699,10.173886853946271,8433025.44852801
2011-03-31,79.27151793,6.5,7.5,18.62,8626491.95750327,1102.1234345909113,9.581486842295527,1083.7509237648374,1079.8582480007785,10.010456500747935,9.933204645494616,8569671.41924431
2011-04-30,79.39388863,6.5,7.0,17.68,8684178.26394805,1101.2053748404173,9.770193415495058,1111.3289733157533,1071.5337702685704,9.742635151504295,9.685101245961656,8499439.23280164
2011-05-31,79.92770624,6.5,7.25,17.62,8802885.84169161,1093.2463284279306,9.936079360122243,1095.0645565798977,1069.5164949790396,9.461670815794108,10.153007445528699,8545132.78514902
2011-06-30,80.37477639,5.0,7.25,17.8,8906009.48041463,1086.9488414739856,9.929577917526885,1102.1234345909113,1083.7509237648374,9.581486842295527,10.010456500747935,8626491.95750327
2011-07-31,80.64548028,5.0,7.25,17.65,9041314.01935983,1086.0873297405599,9.67912645515459,1101.2053748404173,1111.3289733157533,9.770193415495058,9.742635151504295,8684178.26394805
2011-08-31,80.85236513,5.0,7.25,17.84,9197152.18078423,1086.4524351172292,9.752304257087358,1093.2463284279306,1095.0645565798977,9.936079360122243,9.461670815794108,8802885.84169161
2011-09-30,80.72600411,5.0,7.75,17.91,9356327.57211234,1092.7073434578197,9.820724770928898,1086.9488414739856,1102.1234345909113,9.929577917526885,9.581486842295527,8906009.48041463
2011-10-31,80.91713243,5.0,8.0,17.86,9496315.08828697,1092.2595780274696,9.423004057321558,1086.0873297405599,1101.2053748404173,9.67912645515459,9.770193415495058,9041314.01935983
2011-11-30,81.16004779,5.0,8.0,17.79,9601408.91589881,1096.4472145387726,9.379203602814828,1086.4524351172292,1093.2463284279306,9.752304257087358,9.936079360122243,9197152.18078423
2011-12-31,81.90341174,5.0,8.0,17.88,9687953.85234099,1098.0715407838686,9.171931652740021,1092.7073434578197,1086.9488414739856,9.820724770928898,9.929577917526885,9356327.57211234
2012-01-31,82.04658975,5.0,8.75,18.25,9711931.10148251,1103.5050324720498,9.126196461793825,1092.2595780274696,1086.0873297405599,9.423004057321558,9.67912645515459,9496315.08828697
2012-02-29,82.27743102,5.0,9.0,18.68,9821759.40025675,1107.1990462968643,8.864792259081453,1096.4472145387726,1086.4524351172292,9.379203602814828,9.752304257087358,9601408.91589881
2012-03-31,82.60731132,5.0,9.25,18.77,9938450.25381363,1095.337345046827,8.763156581458588,1098.0715407838686,1092.7073434578197,9.171931652740021,9.820724770928898,9687953.85234099
2012-04-30,83.13127394,5.0,9.5,19.18,10002922.8094165,1092.85370147221,8.94174432940823,1103.5050324720498,1092.2595780274696,9.126196461793825,9.423004057321558,9711931.10148251
2012-05-31,83.95230348,5.0,10.0,19.7,10085587.6711689,1087.6055837048798,8.535907492077337,1107.1990462968643,1096.4472145387726,8.864792259081453,9.379203602814828,9821759.40025675
2012-06-30,84.08400002,5.0,9.75,19.59,10178484.6496223,1091.0043736664275,8.530482182685216,1095.337345046827,1098.0715407838686,8.763156581458588,9.171931652740021,9938450.25381363
2012-07-31,83.82988454,5.0,10.25,19.94,10301080.9220688,1086.3701377081638,8.54830579054147,1092.85370147221,1103.5050324720498,8.94174432940823,9.126196461793825,10002922.8094165
2012-08-31,84.27312287,5.0,10.5,20.17,10420035.158213,1080.3209260621852,8.576427936387827,1087.6055837048798,1107.1990462968643,8.535907492077337,8.864792259081453,10085587.6711689
2012-09-30,84.33147392,5.0,10.5,20.42,10512038.148269,1079.6756899747168,8.614356320832231,1091.0043736664275,1095.337345046827,8.530482182685216,8.763156581458588,10178484.6496223
2012-10-31,84.70730963,5.0,10.25,20.68,10635943.8659697,1077.1663219428885,8.339767271859024,1086.3701377081638,1092.85370147221,8.54830579054147,8.94174432940823,10301080.9220688
2012-11-30,85.39365319,5.0,9.5,20.68831001,10786084.4393122,1070.0821758930283,8.340953326955285,1080.3209260621852,1087.6055837048798,8.576427936387827,8.535907492077337,10420035.158213
2012-12-31,85.63045146,5.0,9.2,20.4777929,11046826.9216767,1073.481558330286,8.64217076026335,1079.6756899747168,1091.0043736664275,8.614356320832231,8.530482182685216,10512038.148269
2013-01-31,86.75335864,5.0,8.3,20.14050268,11039056.0218797,1074.2712590674694,8.601709914235185,1077.1663219428885,1086.3701377081638,8.339767271859024,8.54830579054147,10635943.8659697
2013-02-28,87.63845178,5.0,7.35,19.15009624,11077684.5011369,1078.1404019580227,8.4163043671327,1070.0821758930283,1080.3209260621852,8.340953326955285,8.576427936387827,10786084.4393122
2013-03-31,87.73381988,5.0,6.95,18.77889747,11124545.0904824,1074.3543333076989,8.86320382653263,1073.481558330286,1079.6756899747168,8.64217076026335,8.614356320832231,11046826.9216767
2013-04-30,88.37458721,5.0,6.75,17.38964657,11197302.8301646,1073.2418995533476,8.765948149641348,1074.2712590674694,1077.1663219428885,8.601709914235185,8.339767271859024,11039056.0218797
2013-05-31,88.38837415,5.0,6.65,16.78657844,11297149.2842246,1070.0890954980193,8.816264810314442,1078.1404019580227,1070.0821758930283,8.4163043671327,8.340953326955285,11077684.5011369
2013-06-30,88.40415487,4.0,6.6,16.86486384,11385334.4779995,1074.1034587133645,8.968247852576324,1074.3543333076989,1073.481558330286,8.86320382653263,8.64217076026335,11124545.0904824
